feature	importance
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.18306695389412697
SSO:000006841__Pyruvate carboxylase (EC 6.4.1.1)	0.12433188938832229
SSO:000009749__Adenosine kinase (EC 2.7.1.20)	0.05876471556400863
SSO:000012878__P-loop NTPase	0.03945672634840171
SSO:000023742__Pyridoxal phosphate-dependent aminotransferase	0.03720586128577919
SSO:000005516__Ornithine decarboxylase (EC 4.1.1.17)	0.036722539901067885
SSO:000008674__UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	0.035368124450098
SSO:000005916__Phosphate acetyltransferase (EC 2.3.1.8)	0.03158096144257241
SSO:000031442__phosphotriesterase	0.02897941977184328
SSO:000033351__sodium:proline symporter	0.023554814378402116
SSO:000009609__3-dehydroquinate dehydratase	0.020730012536408427
SSO:000012783__DNA methylase	0.02046429222272486
SSO:000023784__Quercetin 23-dioxygenase (EC 1.13.11.24)	0.018930015041353315
SSO:000024897__Small acid-soluble spore protein K	0.018163047552757453
SSO:000009528__2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	0.017283663505517737
SSO:000012461__Copper chaperone	0.01702147969696653
SSO:000043419__Cobalamin biosynthesis protein CbiG	0.013336712897508946
SSO:000000720__Acetylglutamate kinase (EC 2.7.2.8)	0.010471135724035751
SSO:000017237__Glucosylglycerol-phosphate synthase (EC 2.4.1.213)	0.010070994739830239
SSO:000002067__DNA gyrase subunit A (EC 5.99.1.3)	0.009531825708525805
