feature	importance
SSO:000030003__glucose-6-phosphate dehydrogenase	0.11229175009578979
SSO:000035257__Cystine ABC transporter substrate-binding protein	0.06756219410340793
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.060494050089295814
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.0578893704084717
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.04217419560540098
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.03312836131785696
SSO:000033686__trehalose-phosphatase	0.03233811180551495
SSO:000007612__Sodium/glutamate symporter	0.031496338728661546
SSO:000009584__2OG-Fe(II) oxygenase	0.026998327166341606
SSO:000033404__sulfite oxidase( EC:1.8.3.1 )	0.023511697381615845
SSO:000012216__Chromate transporter	0.02261283141645558
SSO:000019203__METHYL-ACCEPTING CHEMOTAXIS PROTEIN	0.022590447180883523
SSO:000000151__2-dehydropantoate 2-reductase (EC 1.1.1.169)	0.02242717991972984
SSO:000013154__Dipeptidase	0.017423277047381513
SSO:000011135__Bile acid:sodium symporter	0.013538343449380017
SSO:000001024__Aquaporin Z	0.013302212005139124
SSO:000001856__Cysteine desulfurase (EC 2.8.1.7)	0.013219995165110241
SSO:000033819__virulence factor family protein	0.01227686511973073
SSO:000016804__Flagellar motor protein	0.01219050631954636
SSO:000041675__WD40 repeat domain-containing protein	0.011520359694148847
