feature	importance
SSO:000030003__glucose-6-phosphate dehydrogenase	0.16133290980641743
SSO:000000701__Acetyl-CoA C-acyltransferase (EC 2.3.1.16)	0.10420177415277102
SSO:000000864__Aldehyde dehydrogenase (EC 1.2.1.3)	0.047282817586902774
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.043717183686514775
SSO:000012290__CoA-binding protein	0.03164939433858394
SSO:000017884__HoxN/HupN/NixA family nickel/cobalt transporter	0.02342527359608842
SSO:000010272__Acyl-CoA thioesterase	0.021588583881530007
SSO:000017665__Heavy metal translocating P-type ATPase	0.02121872598967995
SSO:000002977__GMP reductase (EC 1.7.1.7)	0.018981007932287266
SSO:000000975__Ammonium transporter	0.018815597002473018
SSO:000018921__Pullulanase (EC 3.2.1.41)	0.018217194348634242
SSO:000029193__Zinc transporter ZupT	0.014835063243804878
SSO:000004144__L-fucose isomerase (EC 5.3.1.25)	0.014693077528457794
SSO:000006028__Phosphopentomutase (EC 5.4.2.7)	0.013707734151090462
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.013021240060049826
SSO:000042612__aspartate kinase (EC 2.7.2.4)	0.01250561756960735
SSO:000010295__Acyltransferase family protein	0.010580707930792611
SSO:000010281__Acyl-acyl carrier protein thioesterase	0.010151814752623094
SSO:000036190__Glycosyltransferase family 1	0.009061428021477885
SSO:000000982__Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3)	0.008684348106592233
