feature	importance
SSO:000007208__S-ribosylhomocysteine lyase (EC 4.4.1.21)	0.2511523113126365
SSO:000003483__Homoserine O-acetyltransferase (EC 2.3.1.31)	0.07403798483534002
SSO:000006811__Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	0.04835303926940898
SSO:000008678__Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	0.04353598184020243
SSO:000044184__tRNAMet cytidine acetyltransferase (EC 2.3.1.193)	0.028251509923637078
SSO:000004155__L-lactate dehydrogenase (EC 1.1.1.27)	0.025712367061382614
SSO:000020158__Mycoredoxin (EC 1.20.4.3)	0.014483834345094348
SSO:000000948__Amino acid permease	0.013006471787468837
SSO:000043018__acetolactate decarboxylase (EC 4.1.1.5)	0.01119627598620882
SSO:000009472__1-acylglycerol-3-phosphate O-acyltransferase	0.011160830045510887
SSO:000043309__branched-chain-amino-acid transaminase (EC 2.6.1.42)	0.011006178712468971
SSO:000021890__Polysaccharide biosynthesis protein	0.009679829686953634
SSO:000034428__Acetoacetate decarboxylase family protein	0.009133292105853624
SSO:000037230__Nitronate monooxygenase (EC 1.13.12.16)	0.008865897989323714
SSO:000002885__Formate dehydrogenase beta subunit (EC 1.2.1.2)	0.00801068505960034
SSO:000033667__transposase family protein	0.006988441362102235
SSO:000017748__Heparin-binding hemagglutinin	0.006979570258231723
SSO:000024257__S-adenosylmethionine decarboxylase proenzyme	0.006936984542094949
SSO:000006855__Pyruvatephosphate dikinase (EC 2.7.9.1)	0.006864600481546448
SSO:000017208__Isochorismatase (EC 3.3.2.1)	0.006754909908005054
