feature	importance
SSO:000033834__xylulokinase	0.2169168956375437
SSO:000042813__amino-acid N-acetyltransferase (EC 2.3.1.1)	0.10031296428705164
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.04801911312694415
SSO:000031624__prepilin-type N-terminal cleavage/methylation domain-containing protein	0.04719378768178219
SSO:000002255__Deoxyribose-phosphate aldolase (EC 4.1.2.4)	0.03957114131594912
SSO:000012503__Cu(I)-responsive transcriptional regulator	0.03637105447978925
SSO:000000536__AMP nucleosidase (EC 3.2.2.4)	0.03416296974802993
SSO:000033521__toprim domain-containing protein	0.022160812822482032
SSO:000033054__radical SAM protein	0.02202225705671558
SSO:000000870__Aldose 1-epimerase (EC 5.1.3.3)	0.019158638636166445
SSO:000001155__Bacteriocin production protein	0.01636080736971628
SSO:000033776__tyrosine recombinase	0.015479992405096427
SSO:000030106__heme-binding protein	0.01365645517540293
SSO:000017637__Haloalkane dehalogenase (EC 3.8.1.5)	0.01336224885148691
SSO:000042404__cobyrinate ac-diamide synthase (EC 6.3.5.11)	0.013227899674972267
SSO:000000306__3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	0.012493564610315632
SSO:000043793__3-hexulose-6-phosphate synthase (EC 4.1.2.43)	0.012300292314853115
SSO:000016627__Fatty acid cis/trans isomerase	0.010845313466022726
SSO:000017750__Heparinase II/III family protein	0.010812065396536816
SSO:000005515__Ornithine cyclodeaminase (EC 4.3.1.12)	0.00954926072816799
