feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.2649075135756276
SSO:000042518__dCTP deaminase (EC 3.5.4.13)	0.06486892379716619
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.04135557361422158
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.025737227969321482
SSO:000008865__Urease accessory protein UreF	0.018548263195068727
SSO:000000980__Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	0.017929027187105175
SSO:000001541__Choline dehydrogenase (EC 1.1.99.1)	0.017648092653692764
SSO:000002985__GTP cyclohydrolase II (EC 3.5.4.25)	0.017254903606425512
SSO:000033632__transglutaminase family protein	0.01657352087801455
SSO:000000749__Acyl carrier protein	0.016206127787092153
SSO:000022669__Protease HtpX	0.01493055680106571
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.012688663547709993
SSO:000043984__thioredoxin-disulfide reductase (EC 1.8.1.9)	0.012335000937178861
SSO:000021315__PepSY-associated TM helix domain-containing protein	0.00974915208726301
SSO:000017940__Hydrogenase maturation protease	0.009667434592236103
SSO:000001517__Chloramphenicol acetyltransferase (EC 2.3.1.28)	0.00928806146278712
SSO:000025785__Transcriptional antiterminator	0.009283726938869885
SSO:000006040__Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	0.009260687364718618
SSO:000006808__Pyridoxal kinase (EC 2.7.1.35)	0.008730084442146043
SSO:000000449__6-phospho-3-hexuloisomerase (EC 5.3.1.27)	0.008644686326712064
