feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.3001501697262392
SSO:000029108__YaiI/YqxD family protein	0.11260392021354726
SSO:000029337__alpha-xylosidase (EC 3.2.1.177)	0.04569847627694271
SSO:000021650__Phosphoglycerate dehydrogenase	0.032318007385541477
SSO:000023921__Redox-sensing transcriptional repressor Rex	0.03161139914431324
SSO:000000406__5-(carboxyamino)imidazole ribonucleotide synthase (EC 6.3.4.18)	0.028926457308107573
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.025000064790556584
SSO:000003012__Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	0.022621631623685634
SSO:000000212__2-phosphosulfolactate phosphatase (EC 3.1.3.71 )	0.01335737000508144
SSO:000005037__Murein hydrolase activator NlpD	0.011925120499744422
SSO:000003262__Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	0.011210057387726246
SSO:000028897__VTC domain-containing protein	0.010342726942852449
SSO:000016592__FMN-dependent NADH-azoreductase (EC 1.7.1.6)	0.009264499301989809
SSO:000033054__radical SAM protein	0.009189178861947091
SSO:000007627__Spermidine synthase (EC 2.5.1.16)	0.009122688843894194
SSO:000024577__Serine/threonine kinase	0.007865092285992048
SSO:000025504__Teicoplanin resistance protein vanZ	0.0073510270083908475
SSO:000044172__hydroxyisourate hydrolase (EC 3.5.2.17)	0.0069826280794311
SSO:000031187__nucleic acid binding protein	0.0068151472452070575
SSO:000020367__NERD domain-containing protein	0.0056592500359597675
