feature	importance
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.1949372458840754
SSO:000012031__Cell division protein	0.058721737626343605
SSO:000025231__Sugar binding protein	0.05763803570808403
SSO:000023536__Putative porin	0.049988342473070706
SSO:000000212__2-phosphosulfolactate phosphatase (EC 3.1.3.71 )	0.0486695098636426
SSO:000021090__PKD domain-containing protein	0.04652376644832912
SSO:000029894__ethanolamine utilization protein EutH	0.042166800151573265
SSO:000012222__Chromosome partitioning protein ParA	0.029450528705840535
SSO:000002283__Diaminopropionate ammonia-lyase (EC 4.3.1.15)	0.02899722053596862
SSO:000008399__Tryptophanase (EC 4.1.99.1)	0.02664325774606851
SSO:000044172__hydroxyisourate hydrolase (EC 3.5.2.17)	0.025280764680023958
SSO:000029974__gamma-glutamyltransferase( EC:2.3.2.2 )	0.024097147615366975
SSO:000010090__ATPase	0.02257439677427601
SSO:000010855__Asparaginase	0.022450726551115373
SSO:000001419__Carbonic anhydrase (EC 4.2.1.1)	0.021219914630786166
SSO:000037085__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit D	0.02060451920802564
SSO:000004605__Lysophospholipase (EC 3.1.1.5)	0.02031885780679812
SSO:000010272__Acyl-CoA thioesterase	0.019644396668531867
SSO:000023840__RNA polymerase sigma factor SigX	0.016875283050498117
SSO:000042475__5-methyltetrahydropteroyltriglutamate---homocysteine S-methyltransferase (EC 2.1.1.14)	0.014833016265515298
