feature	importance
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.166346999627195
SSO:000000449__6-phospho-3-hexuloisomerase (EC 5.3.1.27)	0.06109895184327017
SSO:000038656__Primary-amine oxidase (EC 1.4.3.21)	0.050256638008182405
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.04757618716236278
SSO:000033137__rubrerythrin family protein	0.04419449710849097
SSO:000033453__tRNA-dihydrouridine synthase DusB	0.038098506681075464
SSO:000017841__Histone deacetylase family protein	0.029889048327837498
SSO:000013437__Epoxide hydrolase	0.023475555602342064
SSO:000010002__ATP-binding protein	0.019527086791892658
SSO:000009637__3-oxoadipate enol-lactonase	0.018902476011630583
SSO:000024332__SH3 domain-containing protein	0.017475206004014986
SSO:000010617__Aminotransferase	0.015402119133937358
SSO:000018447__Inorganic phosphate transporter	0.015378547581252714
SSO:000017037__Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)	0.013318105719050542
SSO:000018213__IS630 family transposase	0.013050448812621903
SSO:000025239__Sugar isomerase	0.012802763271375637
SSO:000020436__Na+/H+ antiporter family protein	0.011592150315500423
SSO:000025517__Tellurium resistance protein terC	0.011560300397376766
SSO:000010570__Amino acid carrier protein	0.010820168541334389
SSO:000012966__DUF1275 domain-containing protein	0.010623504762758607
