feature	importance
SSO:000044077__Magnesium transporter	0.1285017444589277
SSO:000001094__Aspartate ammonia-lyase (EC 4.3.1.1)	0.06681814585761513
SSO:000009334__tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	0.06127905333344379
SSO:000007178__Rod shape-determining protein MreC	0.04427720452396088
SSO:000012473__Cytochrome c	0.042632952069643446
SSO:000000826__Adenylylsulfate kinase (EC 2.7.1.25)	0.03969711562803339
SSO:000000450__6-phospho-beta-galactosidase (EC 3.2.1.85)	0.03134899551999154
SSO:000029838__dihydrolipoyl dehydrogenase	0.029514773166917793
SSO:000000176__2-keto-4-pentenoate hydratase (EC 4.2.1.80)	0.029387256334699647
SSO:000011127__Bifunctional DNA primase/polymerase	0.028700492892026877
SSO:000013144__DinB family protein	0.028418819826818785
SSO:000020511__Nicotinamide mononucleotide transporter	0.021679508566736956
SSO:000013151__Dioxygenase	0.021591574076171054
SSO:000002802__Flagellar biosynthesis protein FlhF	0.018657198458067518
SSO:000000975__Ammonium transporter	0.016616833650857483
SSO:000029784__cytochrome c oxidase subunit III	0.016312693259100675
SSO:000006834__Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	0.016172513344604574
SSO:000011951__Carboxylate-amine ligase	0.013967780847616906
SSO:000007698__Stage III sporulation protein AB	0.013124625967865344
SSO:000030043__glycoside hydrolase family 28	0.012272225146317832
