feature	importance
SSO:000029073__Xylose isomerase	0.3442955269024262
SSO:000000670__Acetate kinase (EC 2.7.2.1)	0.06696440315524989
SSO:000009310__sortase	0.03410439541983924
SSO:000033834__xylulokinase	0.02946552138646909
SSO:000025241__Sugar kinase	0.021905289765601847
SSO:000000870__Aldose 1-epimerase (EC 5.1.3.3)	0.017097457155967836
SSO:000020510__Nicotinamide mononucleotide adenylyltransferase	0.0135317289781363
SSO:000017244__Glutamate 23-aminomutase (EC 5.4.3.9)	0.013325833962860838
SSO:000007633__Spheroidene monooxygenase (EC 1.14.15.9)	0.012915208407589664
SSO:000026174__Trehalose utilization protein ThuA	0.011134756494807142
SSO:000028997__WGR domain-containing protein	0.010871179534474968
SSO:000020611__Non-ribosomal peptide synthetase	0.010266408258958672
SSO:000011528__CDP-alcohol phosphatidyltransferase	0.009120864248376754
SSO:000012074__Cell wall-binding protein	0.008236626143080704
SSO:000019294__Maleate cis-trans isomerase	0.008012172756003145
SSO:000017027__GTPase	0.007412189311772468
SSO:000010855__Asparaginase	0.007030819233703779
SSO:000013147__Dinitrogenase iron-molybdenum cofactor biosynthesis protein	0.007010359418797352
SSO:000023748__Pyridoxal-dependent decarboxylase	0.006840833432913417
SSO:000044126__methanol dehydrogenase (EC 1.1.1.244)	0.0063059606905672486
