feature	importance
SSO:000026177__Trehalose-6-phosphate synthase	0.16564270491111732
SSO:000029073__Xylose isomerase	0.11857279358130378
SSO:000036082__Glucose-6-phosphate dehydrogenase (coenzyme F420) (EC 1.1.98.2)	0.06538526995645436
SSO:000002811__Flagellar hook protein FlgE	0.051999143061119295
SSO:000025721__Toxic anion resistance protein	0.044076944025398024
SSO:000000417__5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	0.04156285049016205
SSO:000044350__aspartate---tRNA ligase (EC 6.1.1.12)	0.03863466769186476
SSO:000001301__CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	0.036250515646532824
SSO:000017027__GTPase	0.03613082084793031
SSO:000034599__Amino acid aminotransferase	0.014646199032803833
SSO:000020170__N-6 DNA methylase	0.014348725313390185
SSO:000000536__AMP nucleosidase (EC 3.2.2.4)	0.008966713869537929
SSO:000029598__coagulation factor 5/8 type domain protein	0.008304291883076981
SSO:000044309__deoxyribonuclease I (EC 3.1.21.1)	0.007612260493517752
SSO:000025517__Tellurium resistance protein terC	0.0058261289721763315
SSO:000010699__Anti-sigma-factor antagonist	0.005344125730875372
SSO:000011502__CAAX protease	0.0048008168914168954
SSO:000024628__Sialidase (EC 3.2.1.18)	0.0045040899212850155
SSO:000002626__Exonuclease SbcD	0.0012029532248415344
SSO:000000365__4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	0.0
