feature	importance
SSO:000000142__2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	0.18780286885005518
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.10855680099769215
SSO:000002819__Flagellar motor switch protein FliM	0.04718331338300086
SSO:000022980__PspC domain-containing protein	0.041770015955359244
SSO:000002338__Dimethylsulfoniopropionate demethylase (EC 2.1.1.269)	0.03906798544459533
SSO:000009614__3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.-)	0.03484145191423257
SSO:000029597__class II aldolase/adducin family protein	0.02596750333063449
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.025538845310552047
SSO:000008105__TonB-dependent siderophore receptor	0.021389596147106355
SSO:000017050__Gas vesicle protein	0.01944563276514523
SSO:000001094__Aspartate ammonia-lyase (EC 4.3.1.1)	0.013883476465897108
SSO:000021548__Phage tail assembly chaperone	0.013405599404285146
SSO:000017356__Glycogen synthase (EC 2.4.1.11)	0.012367239899881184
SSO:000029780__cytochrome b562	0.010631736877446613
SSO:000010559__Amidohydrolase family protein	0.009833199107891918
SSO:000008622__UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	0.00928548834681306
SSO:000044269__UDP-N-acetylmuramoyl-L-alanyl-D-glutamate---26-diaminopimelate ligase (EC 6.3.2.13)	0.00894662660999365
SSO:000042516__ribonucleoside-triphosphate reductase (EC 1.17.4.2)	0.00874111669072849
SSO:000017202__Glucoamylase (EC 3.2.1.3)	0.008618520511651281
SSO:000008849__Uracil phosphoribosyltransferase (EC 2.4.2.9)	0.00844795792396174
