feature	importance
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.3146854576419568
SSO:000000817__Adenosylhomocysteinase (EC 3.3.1.1)	0.08949608846256263
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.0426119222323393
SSO:000000142__2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	0.02365136889087136
SSO:000042934__methylcrotonoyl-CoA carboxylase (EC 6.4.1.4)	0.023530768680487747
SSO:000020835__OsmC family protein	0.020562007594361213
SSO:000010516__Endo-14-beta-xylanase (EC 3.2.1.8)	0.01905183596810514
SSO:000011397__Bmp family protein	0.018434927533379438
SSO:000018283__IclR-family transcriptional regulator	0.015350318330587339
SSO:000031462__plasmid stabilization protein	0.013471411225120987
SSO:000002250__Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	0.012390149512171248
SSO:000000870__Aldose 1-epimerase (EC 5.1.3.3)	0.01045476481981831
SSO:000008105__TonB-dependent siderophore receptor	0.009707063043344209
SSO:000023738__Pyridine nucleotide-disulfide oxidoreductase	0.007501731375516743
SSO:000010058__ATP-dependent helicase HrpB	0.006897632212300135
SSO:000002031__D-lactate dehydrogenase (EC 1.1.1.28)	0.006505863757192412
SSO:000016590__FMN-binding negative transcriptional regulator	0.006075325078693472
SSO:000037083__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit B	0.005901842051932948
SSO:000019294__Maleate cis-trans isomerase	0.005847930770676376
SSO:000043274__dimethylargininase (EC 3.5.3.18)	0.005751517173389408
