feature	importance
SSO:000001479__Cell division topological specificity factor MinE	0.1380427600554532
SSO:000029506__carbohydrate kinase	0.11203782519902103
SSO:000007384__Selenocysteine-specific translation elongation factor	0.07978171642720318
SSO:000021899__Polysaccharide deacetylase family protein	0.061031621627438734
SSO:000022956__Proteinase inhibitor I4 serpin	0.05859302361173054
SSO:000005035__Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	0.05777584019275657
SSO:000013134__Dihydroorotate dehydrogenase	0.0492644208211624
SSO:000025307__Superoxide dismutase	0.030407160887729122
SSO:000016732__Fibronectin type III domain-containing protein	0.025917552524525118
SSO:000020436__Na+/H+ antiporter family protein	0.024124918233922342
SSO:000043641__N4-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26)	0.017949206605113125
SSO:000000345__4'-phosphopantetheinyl transferase (EC 2.7.8.-)	0.005421874991161536
SSO:000020125__Murein DD-endopeptidase MepM	0.0
SSO:000021345__Peptidase M61	0.0
SSO:000005945__Phosphatidylserine decarboxylase (EC 4.1.1.65)	0.0
SSO:000023999__RepA protein	0.0
SSO:000018213__IS630 family transposase	0.0
SSO:000004933__Molybdenum ABC transporter ATP-binding protein ModC	0.0
SSO:000021269__Patatin family protein	0.0
SSO:000021611__Phosphate starvation-inducible protein PsiF	0.0
