feature	importance
SSO:000003148__Glutamate decarboxylase (EC 4.1.1.15)	0.20258284938387255
SSO:000021054__PASTA domain containing protein	0.08154637396100274
SSO:000038542__Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17)	0.07646545663421081
SSO:000017389__Glycosyl hydrolase family 5	0.04665894592534029
SSO:000042254__pyruvate synthase (EC 1.2.7.1)	0.04032570193783608
SSO:000024474__Sensor histidine kinase	0.03229182557663682
SSO:000033686__trehalose-phosphatase	0.029111385748475636
SSO:000013134__Dihydroorotate dehydrogenase	0.02814689140448511
SSO:000001470__Cell division protein FtsW	0.019005801831361295
SSO:000024332__SH3 domain-containing protein	0.016380379268617275
SSO:000012612__Cytochrome b561	0.009864143432932881
SSO:000018657__Isoprenylcysteine carboxyl methyltransferase family protein	0.009114555406795215
SSO:000009681__4-hydroxybenzoate 3-monooxygenase( EC:1.14.13.2 )	0.004999284495125526
SSO:000011117__Beta-mannosidase	0.0032497833041195416
SSO:000026007__Transglutaminase-like protein	0.0023890689967537605
SSO:000004056__Isoleucyl-tRNA synthetase (EC 6.1.1.5)	0.002134052252409172
SSO:000025455__TRNA and rRNA cytosine-C5-methylase	0.0
SSO:000012875__DNA sulfur modification protein DndB	0.0
SSO:000033047__pyruvate carboxyltransferase	0.0
SSO:000013192__DnaD domain protein	0.0
