feature	importance
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.24402284137791436
SSO:000037094__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit M	0.07999843344604333
SSO:000018777__L-rhamnose isomerase	0.07851608983773062
SSO:000000624__ATP-dependent protease subunit HslV (EC 3.4.25.2)	0.04075129485165623
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.03996036538934529
SSO:000000045__1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	0.031176849066823494
SSO:000009334__tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	0.022358222590020554
SSO:000012978__DUF1934 domain-containing protein	0.022110551219229186
SSO:000002316__Dihydroxy-acid dehydratase (EC 4.2.1.9)	0.021469067287977945
SSO:000007180__Rod shape-determining protein RodA	0.017492376276925452
SSO:000012386__Coniferyl aldehyde dehydrogenase (EC 1.2.1.68)	0.016864673097196557
SSO:000025554__Tetratricopeptide repeat protein	0.014275244296193638
SSO:000043513__adenosylmethionine decarboxylase (EC 4.1.1.50)	0.014226272657147996
SSO:000000428__5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	0.01381511119388719
SSO:000025119__Sterol binding protein	0.01068127338615349
SSO:000000449__6-phospho-3-hexuloisomerase (EC 5.3.1.27)	0.009645962826038721
SSO:000012328__Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)	0.007964986289222256
SSO:000000379__4-hydroxyphenylacetate decarboxylase small subunit (EC 4.1.1.83)	0.007735959508066978
SSO:000000270__3-aminobutyryl-CoA ammonia-lyase (EC 4.3.1.14)	0.007690344395706669
SSO:000012982__DUF2383 domain-containing protein	0.007667545791754962
