feature	importance
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.23761500248155992
SSO:000044308__adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	0.08309893432015936
SSO:000004190__LPS export ABC transporter permease LptG	0.054024485384212166
SSO:000001879__Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-)	0.048259317253737756
SSO:000012974__DUF1854 domain-containing protein	0.03234368552742997
SSO:000001468__Cell division protein FtsL	0.02867961159452667
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.023632493999138294
SSO:000002796__Flagellar basal-body rod protein FlgC	0.02031526797865109
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.020143880163161397
SSO:000000563__ATP-dependent Clp protease ATP-binding subunit ClpA	0.019806246600630753
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.019144612795641978
SSO:000000824__Adenylosuccinate synthetase (EC 6.3.4.4)	0.014336586339162074
SSO:000002255__Deoxyribose-phosphate aldolase (EC 4.1.2.4)	0.01393554183800958
SSO:000017027__GTPase	0.013657357631285501
SSO:000024592__Serine/threonine protein phosphatase (EC 3.1.3.16)	0.011409380607424396
SSO:000000292__3-hydroxyanthranilate 34-dioxygenase (EC 1.13.11.6)	0.01059498555582362
SSO:000017589__HPT domain containing protein	0.01043316628480324
SSO:000029584__chromosome partitioning protein ParB	0.009521013918015716
SSO:000008131__Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	0.009438847285878677
SSO:000005097__N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	0.009392651710039264
