feature	importance
SSO:000017206__Gluconate 5-dehydrogenase (EC 1.1.1.69)	0.1900609732581689
SSO:000012210__Chorismate mutase	0.11991570603482274
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.1032687838914332
SSO:000017300__Glutaredoxin-like protein nrdH	0.08925117797745773
SSO:000029525__cation diffusion facilitator family transporter	0.05401965977077452
SSO:000042475__5-methyltetrahydropteroyltriglutamate---homocysteine S-methyltransferase (EC 2.1.1.14)	0.03472659200139376
SSO:000009028__Protein-PII uridylyltransferase (EC 2.7.7.59)	0.030805461488371766
SSO:000005620__Oxalyl-CoA decarboxylase (EC 4.1.1.8)	0.024836786304362764
SSO:000024142__Ribonuclease	0.022291812711927414
SSO:000018206__IS3 family transposase	0.020359439761498697
SSO:000017631__Haloacid dehalogenase type II (EC 3.8.1.2)	0.00933073764121264
SSO:000043116__Shikimate 5-dehydrogenase (EC 1.1.1.25)	0.0084557925934816
SSO:000006910__RNA polymerase sigma factor SigV	0.0018379887072122077
SSO:000031204__opacity associated protein A	0.0
SSO:000021611__Phosphate starvation-inducible protein PsiF	0.0
SSO:000021269__Patatin family protein	0.0
SSO:000004933__Molybdenum ABC transporter ATP-binding protein ModC	0.0
SSO:000005945__Phosphatidylserine decarboxylase (EC 4.1.1.65)	0.0
SSO:000018213__IS630 family transposase	0.0
SSO:000023999__RepA protein	0.0
