feature	importance
SSO:000025721__Toxic anion resistance protein	0.19570424828071933
SSO:000010533__Amidase	0.18119973659057742
SSO:000010823__Arsenate reductase family protein	0.06987421148309368
SSO:000029128__YeeE/YedE family protein	0.03458271298628223
SSO:000043918__DNA-formamidopyrimidine glycosylase (EC 3.2.2.23)	0.03200182431750153
SSO:000002822__Flagellar protein FlaG	0.02351414777405553
SSO:000013593__Extracellular solute-binding protein	0.018251560362008513
SSO:000033829__winged helix family transcriptional regulator	0.015618407985556255
SSO:000005317__Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	0.012516092234269293
SSO:000020637__Nuclease	0.011459102947389152
SSO:000010324__Adhesin	0.011098664709998703
SSO:000001260__Branched-chain amino acid aminotransferase (EC 2.6.1.42)	0.008903114531574313
SSO:000029584__chromosome partitioning protein ParB	0.0074201964196925424
SSO:000021521__Phage major tail protein	0.0058084492415736225
SSO:000039723__beta-ketoacyl-acyl-carrier-protein synthase II (EC 2.3.1.179)	0.004201847752818245
SSO:000011964__Carboxypeptidase	0.002228008552531204
SSO:000012938__DNA-directed DNA polymerase	0.002150880096844246
SSO:000004933__Molybdenum ABC transporter ATP-binding protein ModC	0.0
SSO:000009632__3-methyladenine DNA glycosylase	0.0
SSO:000018820__LacX protein	0.0
