feature	importance
SSO:000004100__LL-diaminopimelate aminotransferase (EC 2.6.1.83)	0.2503133297053052
SSO:000003439__Histidine ammonia-lyase (EC 4.3.1.3)	0.21480153453264816
SSO:000006816__Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	0.11756404144347542
SSO:000020125__Murein DD-endopeptidase MepM	0.0
SSO:000002915__Formylmethanofuran dehydrogenase subunit B (EC 1.2.99.5)	0.0
SSO:000024245__Rubredoxin-type Fe(Cys)4 protein	0.0
SSO:000009632__3-methyladenine DNA glycosylase	0.0
SSO:000030910__kinase-like protein	0.0
SSO:000001489__Cell filamentation protein fic	0.0
SSO:000009606__3-carboxyethylcatechol 23-dioxygenase (EC 1.13.11.16)	0.0
SSO:000036684__Long-chain-fatty-acyl-CoA reductase (EC 1.2.1.50)	0.0
SSO:000002791__Flagellar assembly protein FliH	0.0
SSO:000029327__alpha-L-rhamnosidase	0.0
SSO:000029062__Xylan 14-beta-xylosidase (EC 3.2.1.37)	0.0
SSO:000021345__Peptidase M61	0.0
SSO:000013192__DnaD domain protein	0.0
SSO:000010833__Arylesterase	0.0
SSO:000012875__DNA sulfur modification protein DndB	0.0
SSO:000029894__ethanolamine utilization protein EutH	0.0
SSO:000004608__Lysyl endopeptidase (EC 3.4.21.50)	0.0
