feature	importance
SSO:000001046__Arginine deiminase (EC 3.5.3.6)	0.2390967828175424
SSO:000001398__Carbamate kinase (EC 2.7.2.2)	0.07280429937191853
SSO:000021848__Polyhydroxyalkanoate synthesis repressor PhaR	0.041646556189641595
SSO:000016592__FMN-dependent NADH-azoreductase (EC 1.7.1.6)	0.040917446462971525
SSO:000012985__DUF309 domain-containing protein	0.032219304947393626
SSO:000039072__S-(hydroxymethyl)mycothiol dehydrogenase (EC 1.1.1.306)	0.025835207082415938
SSO:000000263__34-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	0.013618367752609026
SSO:000006147__Polyketide synthase	0.012732206222377546
SSO:000025487__Taurine dioxygenase (EC 1.14.11.17)	0.011557421606388275
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.01110428754220523
SSO:000033632__transglutaminase family protein	0.009749655678192939
SSO:000036033__Galactose/methyl galactoside ABC transporter ATP-binding protein MglA (EC 3.6.3.17)	0.009721559477309495
SSO:000023826__RNA helicase	0.008884811982962466
SSO:000009528__2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	0.008799691592952682
SSO:000024883__Small multidrug export protein	0.008459750748423889
SSO:000025595__Thioesterase	0.008384061929394062
SSO:000017940__Hydrogenase maturation protease	0.00745744184281251
SSO:000018641__Isochorismatase family protein	0.007448083261933902
SSO:000029781__cytochrome b6	0.006948216949860203
SSO:000003227__Glutathione synthetase (EC 6.3.2.3)	0.006630070082899222
