feature	importance
SSO:000008881__Urocanate hydratase (EC 4.2.1.49)	0.12194187339088725
SSO:000012503__Cu(I)-responsive transcriptional regulator	0.08668641188306404
SSO:000019936__MmgE/PrpD family protein	0.0537465455116174
SSO:000035891__Fe3+ ABC transporter (EC 7.2.2.7) substrate-binding protein	0.04829179444899088
SSO:000029515__carboxylesterase family protein	0.03680717910595681
SSO:000012746__DNA binding protein	0.030125682980306497
SSO:000013635__FHA domain-containing protein	0.026206458544391468
SSO:000044350__aspartate---tRNA ligase (EC 6.1.1.12)	0.024447507226913547
SSO:000009310__sortase	0.02405633003490206
SSO:000024007__Replication protein	0.023926398131717756
SSO:000012328__Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)	0.023699492493644673
SSO:000024899__Small acid-soluble spore protein O	0.022768922484330434
SSO:000020510__Nicotinamide mononucleotide adenylyltransferase	0.020718012416734953
SSO:000016742__Fic family protein	0.01947402984517056
SSO:000008399__Tryptophanase (EC 4.1.99.1)	0.019147127346594118
SSO:000020822__Organic hydroperoxide resistance protein	0.018848620817301917
SSO:000043497__glutathione synthase (EC 6.3.2.3)	0.01870340851839062
SSO:000017510__HAD family hydrolase	0.016696815488385124
SSO:000036646__Lipopolysaccharide assembly protein LapB	0.014542513521832145
SSO:000020342__NADH:flavin oxidoreductase/NADH oxidase	0.013684871923819165
