feature	importance
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.10786253800108601
SSO:000007801__Sulfatase (EC 3.1.6.-)	0.07161373812903686
SSO:000002791__Flagellar assembly protein FliH	0.06868703833973569
SSO:000012978__DUF1934 domain-containing protein	0.06106859125233643
SSO:000009756__Membrane protein	0.034809392387234045
SSO:000025998__Transglutaminase-like cysteine peptidase	0.031602473586834226
SSO:000008865__Urease accessory protein UreF	0.030940050132550242
SSO:000009507__24-dihydroxyhept-2-ene-17-dioic acid aldolase (EC 4.1.2.52)	0.02763576086763172
SSO:000012160__Chemotaxis response regulator protein-glutamate methylesterase (EC 3.1.1.61)	0.02733893471037439
SSO:000004631__Magnesium chelatase (EC 6.6.1.1 )	0.026504880734885335
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.025662244211532195
SSO:000007627__Spermidine synthase (EC 2.5.1.16)	0.02158460712872652
SSO:000011951__Carboxylate-amine ligase	0.020983316755995247
SSO:000029178__Zinc carboxypeptidase	0.020357658853369962
SSO:000039420__Tagaturonate reductase (EC 1.1.1.58)	0.018751730709346378
SSO:000033404__sulfite oxidase( EC:1.8.3.1 )	0.016101155231745237
SSO:000029459__beta-phosphoglucomutase family hydrolase	0.015042893768307744
SSO:000001854__Cystathionine gamma-lyase (EC 4.4.1.1)	0.014511361945672367
SSO:000013391__Endonuclease	0.014227168063007745
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.014091687948997119
