feature	importance
SSO:000008463__Two-component system response regulator OmpR	0.18763100460547377
SSO:000013151__Dioxygenase	0.07217563470308133
SSO:000000195__2-methylcitrate synthase (EC 2.3.3.5)	0.06507242050743427
SSO:000035962__Formate-dependent phosphoribosylglycinamide formyltransferase	0.06108355333995091
SSO:000005475__O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	0.036411525570971805
SSO:000012151__Chemotaxis protein CheY	0.032360259436741715
SSO:000025706__TonB-dependent copper receptor	0.017950031465698183
SSO:000009126__glutamine amidotransferase (EC 4.1.3.27 )	0.01611925272926196
SSO:000002043__D-serine ammonia-lyase (EC 4.3.1.18)	0.014141506884429457
SSO:000012155__Chemotaxis protein motC	0.012262655077543637
SSO:000041594__Undecaprenyl-phosphate glucose phosphotransferase (EC 2.7.8.31)	0.01134783077955567
SSO:000012386__Coniferyl aldehyde dehydrogenase (EC 1.2.1.68)	0.010257295265944993
SSO:000007884__TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325)	0.009770201715118566
SSO:000033521__toprim domain-containing protein	0.009380410940098479
SSO:000019307__Maltodextrin glucosidase (EC 3.2.1.20)	0.008999942300376968
SSO:000009559__2-phospho-L-lactate guanylyltransferase (EC 2.7.7.68)	0.008513819575341442
SSO:000001996__D-alanyl-D-alanine dipeptidase (EC 3.4.13.22)	0.008467297239696645
SSO:000006816__Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	0.007554641009869198
SSO:000012533__Cyclase family protein	0.007358763241153534
SSO:000043039__acetone carboxylase (EC 6.4.1.6)	0.007080090699924799
