feature	importance
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.15074925211496962
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.09871511729278076
SSO:000022980__PspC domain-containing protein	0.05210165719876465
SSO:000008871__Ureidoglycolate lyase (EC 4.3.2.3)	0.039996358081715366
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.038835078352831065
SSO:000025241__Sugar kinase	0.03862830962243628
SSO:000000685__Acetolactate synthase large subunit (EC 2.2.1.6)	0.02668720599313883
SSO:000029265__acetyl-CoA carboxylase biotin carboxyl carrier protein	0.019808994454127656
SSO:000001303__CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	0.016981768121548307
SSO:000004938__Molybdenum cofactor guanylyltransferase (EC 2.7.7.77)	0.015897798224761252
SSO:000029073__Xylose isomerase	0.013697792358268263
SSO:000012746__DNA binding protein	0.013670177378838352
SSO:000009961__ADP-ribosylglycohydrolase family protein	0.011456075207835564
SSO:000037230__Nitronate monooxygenase (EC 1.13.12.16)	0.010752961421402037
SSO:000009556__2-oxo-hepta-3-ene-17-dioic acid hydratase (EC 4.2.-.-)	0.010492298125452135
SSO:000037035__NAD(P)/FAD-dependent oxidoreductase	0.01043794675444246
SSO:000005958__Phosphoenolpyruvate synthase (EC 2.7.9.2)	0.009660403932258544
SSO:000043747__(23-dihydroxybenzoyl)adenylate synthase (EC 2.7.7.58)	0.008272310196476437
SSO:000025362__TM2 domain containing protein	0.008095848556096652
SSO:000008849__Uracil phosphoribosyltransferase (EC 2.4.2.9)	0.008072836920657665
