feature	importance
SSO:000012169__Chitinase (EC 3.2.1.14)	0.1118057082721249
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.08888161282977476
SSO:000000908__Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase (EC 3.6.1.63)	0.04391061950699785
SSO:000000380__4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	0.0419295756227213
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.02736779899684069
SSO:000024110__Rhamnulokinase (EC 2.7.1.5)	0.023938090685957095
SSO:000008391__Tryptophan 23-dioxygenase (EC 1.13.11.11)	0.017794838998139703
SSO:000018206__IS3 family transposase	0.017606778245578845
SSO:000008877__Uridine kinase (EC 2.7.1.48)	0.017220734062972108
SSO:000037265__Nucleoside-specific channel-forming protein Tsx	0.016440533919733404
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.01591742330661984
SSO:000000270__3-aminobutyryl-CoA ammonia-lyase (EC 4.3.1.14)	0.013987505067046473
SSO:000024182__Ribosome maturation factor rimM	0.013831719167155887
SSO:000011121__Beta-xylosidase	0.01318907861630161
SSO:000009129__glutaredoxin 3	0.011264213533820606
SSO:000000673__Acetoacetate decarboxylase (EC 4.1.1.4)	0.010888758658555629
SSO:000030016__glutaredoxin family protein	0.010616103472885963
SSO:000043047__thiamine-phosphate kinase (EC 2.7.4.16)	0.010347031641505404
SSO:000024142__Ribonuclease	0.009994010551988603
SSO:000005248__NADPH:quinone oxidoreductase (EC 1.6.5.5)	0.009674125645028734
