feature	importance
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.08861629424103584
SSO:000021298__Penicillin-binding protein	0.06710493114415102
SSO:000005137__N-methyl-L-tryptophan oxidase (EC 1.5.3.-)	0.05120394138608538
SSO:000007801__Sulfatase (EC 3.1.6.-)	0.04528977291977059
SSO:000020367__NERD domain-containing protein	0.04305875640904669
SSO:000020611__Non-ribosomal peptide synthetase	0.041751790415321954
SSO:000000142__2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	0.035459949638112324
SSO:000025993__Transferase	0.03543915968808557
SSO:000006977__Regulatory protein RecX	0.03272443084207444
SSO:000017510__HAD family hydrolase	0.032107233046712626
SSO:000013618__FAD-binding protein	0.02925976581475544
SSO:000005240__NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	0.026275529967155455
SSO:000020342__NADH:flavin oxidoreductase/NADH oxidase	0.022734881631699552
SSO:000000843__Agmatinase (EC 3.5.3.11)	0.020716576539652826
SSO:000017059__GcrA cell cycle regulator	0.019809564707045573
SSO:000020029__Monooxygenase	0.019210137399011333
SSO:000010516__Endo-14-beta-xylanase (EC 3.2.1.8)	0.016235153317372766
SSO:000043116__Shikimate 5-dehydrogenase (EC 1.1.1.25)	0.011463664953807363
SSO:000006885__RNA 3'-terminal phosphate cyclase (EC 6.5.1.4)	0.009194050816769992
SSO:000006212__Precorrin-6A reductase (EC 1.3.1.54)	0.006203983215759477
