feature	importance
SSO:000043905__4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)	0.13433480544626877
SSO:000017669__Helicase	0.08761688915229761
SSO:000029482__c-type cytochrome	0.08229547920156625
SSO:000008391__Tryptophan 23-dioxygenase (EC 1.13.11.11)	0.06864645905638687
SSO:000029307__aldolase	0.04662220631349394
SSO:000017481__GtrA family protein	0.04481054277503661
SSO:000013541__Exopolysaccharide biosynthesis protein	0.04185783015172489
SSO:000023742__Pyridoxal phosphate-dependent aminotransferase	0.037075960022701346
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.032994932665164615
SSO:000011951__Carboxylate-amine ligase	0.031009114672145347
SSO:000043641__N4-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26)	0.03030777974485678
SSO:000024197__Rieske (2Fe-2S) protein	0.03013308052414819
SSO:000002619__Exodeoxyribonuclease III (EC 3.1.11.2)	0.02084565485509565
SSO:000002401__Ectoine hydroxylase (EC 1.17.-.-)	0.019198456153708902
SSO:000000701__Acetyl-CoA C-acyltransferase (EC 2.3.1.16)	0.011790040313615049
SSO:000012783__DNA methylase	0.01154513870037242
SSO:000019395__Mechanosensitive ion channel family protein	0.011468560784103422
SSO:000009528__2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	0.01096215207562467
SSO:000004419__Leucine dehydrogenase (EC 1.4.1.9)	0.010552363465038538
SSO:000016591__FMN-binding protein	0.009824976999507051
