feature	importance
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.16740435502540765
SSO:000006304__Prephenate dehydratase (EC 4.2.1.51)	0.07816708525957881
SSO:000007416__Septum formation protein Maf	0.07098970955177514
SSO:000029128__YeeE/YedE family protein	0.04197939163996505
SSO:000012207__Choloylglycine hydrolase family protein	0.03753853772461104
SSO:000008817__Undecaprenyl-diphosphatase (EC 3.6.1.27)	0.03248137462903843
SSO:000018792__L-threonine 3-dehydrogenase	0.024981817976874335
SSO:000001303__CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	0.024394180925736957
SSO:000009959__ADP-ribosylglycohydrolase	0.017808091440078076
SSO:000001052__Argininosuccinate synthase (EC 6.3.4.5)	0.01774707006479694
SSO:000029430__bacteriocin	0.017433302400483127
SSO:000004595__Lysine 23-aminomutase (EC 5.4.3.2)	0.015492487012474033
SSO:000012915__Transcriptional regulator	0.015492403637822599
SSO:000004710__Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)	0.015347679892790273
SSO:000003426__Hexokinase (EC 2.7.1.1)	0.014746880117679552
SSO:000002683__Fatty acid desaturase (EC 1.14.19.1)	0.012638107504550583
SSO:000034727__Autonomous glycyl radical cofactor GrcA	0.012603038020873494
SSO:000024142__Ribonuclease	0.012593179089220616
SSO:000006038__Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	0.01180818786336571
SSO:000001067__Arsenate reductase (EC 1.20.4.1)	0.011514029671709808
