feature	importance
SSO:000005994__Phosphomevalonate kinase (EC 2.7.4.2)	0.19613263007178403
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.10696946441108411
SSO:000002270__Diacylglycerol kinase (EC 2.7.1.107)	0.04546025219418815
SSO:000004710__Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)	0.03996523951907911
SSO:000002280__Diaminopimelate decarboxylase (EC 4.1.1.20)	0.039390594414562614
SSO:000035189__Conjugal transfer protein TraF	0.03224718870352778
SSO:000012290__CoA-binding protein	0.030905387589066295
SSO:000021723__Phosphotransferase	0.030266626721993876
SSO:000024194__Rieske (2Fe-2S) domain-containing protein	0.02253016459504453
SSO:000018921__Pullulanase (EC 3.2.1.41)	0.01990653632155431
SSO:000017356__Glycogen synthase (EC 2.4.1.11)	0.01791742030866168
SSO:000013194__DnaJ domain-containing protein	0.01387445226230068
SSO:000021669__Phospholipase	0.013526452988257684
SSO:000002612__Excinuclease ABC subunit B	0.012366078359310712
SSO:000016736__Fibronectin/fibrinogen-binding protein	0.012111647234948926
SSO:000025517__Tellurium resistance protein terC	0.011777267254805218
SSO:000006213__Precorrin-6A synthase (deacetylating) (EC 2.1.1.152)	0.011435131611305691
SSO:000010477__Alpha-L-Rha alpha-13-L-rhamnosyltransferase (EC 2.4.1.-)	0.010403358061838562
SSO:000020394__NTPase	0.009857375151134566
SSO:000035873__FMNH2-dependent alkanesulfonate monooxygenase (EC 1.14.14.5)	0.008708830742885743
