feature	importance
SSO:000026177__Trehalose-6-phosphate synthase	0.20111045920786988
SSO:000024959__Sodium:solute symporter family protein	0.08025299949130367
SSO:000028881__Uroporphyrinogen decarboxylase	0.05618596863602213
SSO:000009598__34-dihydroxyphenylacetate 23-dioxygenase (EC 1.13.11.15)	0.053598322298699166
SSO:000017367__Glycosidase	0.04943017747827568
SSO:000002795__Flagellar basal-body rod protein FlgB	0.037133515290316964
SSO:000000263__34-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	0.03437615318901977
SSO:000029193__Zinc transporter ZupT	0.0314024013055664
SSO:000008674__UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	0.02601188088753379
SSO:000012109__ChaB family protein	0.024804541230023704
SSO:000025241__Sugar kinase	0.02418737489472912
SSO:000010002__ATP-binding protein	0.021077103919118687
SSO:000029317__alkylhydroperoxidase	0.01861868261225401
SSO:000021510__Phage holin	0.01583627313227559
SSO:000001094__Aspartate ammonia-lyase (EC 4.3.1.1)	0.015018021132805648
SSO:000017405__Glycosyl transferase family 28	0.014977021264241327
SSO:000025277__Sulfotransferase	0.014644301490484476
SSO:000018191__IS110 family transposase	0.009707447247963578
SSO:000009334__tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	0.009267416988209301
SSO:000005203__NADH dehydrogenase (EC 1.6.99.3)	0.009029556703505387
