feature	importance
SSO:000010553__Amidohydrolase	0.15178136965644462
SSO:000012182__Chloride channel protein	0.10223537343543715
SSO:000021616__Phosphate-binding protein	0.09316558117271614
SSO:000037530__Undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227)	0.08556471387906385
SSO:000025747__Transcription antiterminator	0.0716351830257605
SSO:000010242__Acyl transferase	0.02431325132195963
SSO:000030106__heme-binding protein	0.021480515656289213
SSO:000001460__Cell division inhibitor	0.019993390134918267
SSO:000006560__Pseudouridine 5'-phosphate glycosidase (EC 4.2.1.70)	0.019963936187985126
SSO:000033963__Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)	0.017251767023486613
SSO:000023742__Pyridoxal phosphate-dependent aminotransferase	0.016933394056753138
SSO:000007576__Sirohydrochlorin cobaltochelatase (EC 4.99.1.3)	0.016345368929063984
SSO:000021523__Phage major tail tube protein	0.015140496392566307
SSO:000018491__Integrase	0.01499126306328035
SSO:000000405__5-(carboxyamino)imidazole ribonucleotide mutase (EC 5.4.99.18)	0.013481851989346323
SSO:000029834__dihydrodipicolinate reductase	0.013186794596364518
SSO:000033520__topology modulation protein	0.01207201947374947
SSO:000043984__thioredoxin-disulfide reductase (EC 1.8.1.9)	0.012050855036295225
SSO:000003095__Glucarate dehydratase (EC 4.2.1.40)	0.011692946048910299
SSO:000023860__RNA-directed DNA polymerase	0.011574281032688408
