feature	importance
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.14776151891149086
SSO:000013628__FAD:protein FMN transferase (EC 2.7.1.180)	0.06818508241009794
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.05281293039102903
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.045755803061044174
SSO:000000450__6-phospho-beta-galactosidase (EC 3.2.1.85)	0.0413294131938624
SSO:000042518__dCTP deaminase (EC 3.5.4.13)	0.03398164894325126
SSO:000012845__DNA repair exonuclease	0.0307691558809657
SSO:000018207__IS30 family transposase	0.029527408465987927
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.029505454339017047
SSO:000001558__Chorismate synthase (EC 4.2.3.5)	0.0161018585686303
SSO:000012150__Chemotaxis protein CheX	0.015979438511146492
SSO:000044269__UDP-N-acetylmuramoyl-L-alanyl-D-glutamate---26-diaminopimelate ligase (EC 6.3.2.13)	0.01587364902681798
SSO:000002972__GDP-mannose 46-dehydratase (EC 4.2.1.47)	0.013184863775604013
SSO:000000870__Aldose 1-epimerase (EC 5.1.3.3)	0.012512781850128158
SSO:000024474__Sensor histidine kinase	0.011428298106550905
SSO:000037086__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit E	0.011260643937401588
SSO:000033834__xylulokinase	0.011227512567621084
SSO:000022669__Protease HtpX	0.011093753677277442
SSO:000007517__Signal peptidase I (EC 3.4.21.89)	0.010912077330397478
SSO:000038747__Protein-ADP-ribose hydrolase	0.010720983327498877
