feature	importance
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.1549343894227647
SSO:000004390__Lactoylglutathione lyase (EC 4.4.1.5)	0.10651692513527208
SSO:000021770__Phytoene desaturase (EC 1.14.99.-)	0.04990590138769346
SSO:000000272__3-carboxy-ciscis-muconate cycloisomerase (EC 5.5.1.2)	0.04954375995289273
SSO:000037083__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit B	0.03298598079658136
SSO:000009370__tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223)	0.031847193729703
SSO:000008630__UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	0.027065992741845728
SSO:000005809__Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	0.02688831050335615
SSO:000011029__Bacteriorhodopsin	0.02259750833203642
SSO:000012746__DNA binding protein	0.018625465710931398
SSO:000029974__gamma-glutamyltransferase( EC:2.3.2.2 )	0.015374468149604052
SSO:000029803__dUTP diphosphatase (EC 3.6.1.23)	0.015136268360325137
SSO:000002256__Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	0.015026371660401276
SSO:000029784__cytochrome c oxidase subunit III	0.014861205243787111
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.014401323244561367
SSO:000029417__aspartoacylase	0.013332485132200261
SSO:000012963__DUF1176 domain-containing protein	0.012293449815892114
SSO:000010315__histone protein	0.011914664714291923
SSO:000021299__Penicillin-binding protein 1A	0.011434244182336895
SSO:000018613__Iron-containing alcohol dehydrogenase	0.011321201269962675
