feature	importance
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.20103591840547927
SSO:000017291__Glutaminyl-peptide cyclotransferase (EC 2.3.2.5)	0.07551377589457844
SSO:000000449__6-phospho-3-hexuloisomerase (EC 5.3.1.27)	0.060715010225341905
SSO:000006371__Prolyl aminopeptidase (EC 3.4.11.5 )	0.043226097069429405
SSO:000002795__Flagellar basal-body rod protein FlgB	0.0396559360507606
SSO:000000568__ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	0.038770273679170304
SSO:000004091__Kynureninase (EC 3.7.1.3)	0.03089910678286743
SSO:000004883__Methylisocitrate lyase (EC 4.1.3.30)	0.021529819065377428
SSO:000000298__3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0.020667279786033745
SSO:000024950__Sodium/solute symporter	0.020624950794634476
SSO:000002060__DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37 )	0.020617795896106655
SSO:000012884__DNA topology modulation protein	0.019098788814954134
SSO:000033834__xylulokinase	0.01633485299662901
SSO:000043018__acetolactate decarboxylase (EC 4.1.1.5)	0.014805311501985665
SSO:000003528__Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	0.014575312967812124
SSO:000012178__Chitosanase	0.014033663610843244
SSO:000005271__Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.-)	0.01150484007488775
SSO:000005313__Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	0.011305048762404367
SSO:000021338__Peptidase M23	0.009578628629654794
SSO:000029953__formate/nitrite transporter family protein	0.009276349216697441
