feature	importance
SSO:000004108__L-2-hydroxyglutarate oxidase (EC 1.1.3.15)	0.14140859712390766
SSO:000035074__Cellulose biosynthesis protein BcsF	0.09093033516191093
SSO:000011127__Bifunctional DNA primase/polymerase	0.06984570588742908
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.05446876999938833
SSO:000021269__Patatin family protein	0.044375372218454584
SSO:000038785__Putative aminohydrolase SsnA	0.04104496477929114
SSO:000028997__WGR domain-containing protein	0.03788741546225858
SSO:000004053__Isocitrate lyase (EC 4.1.3.1)	0.03501297922680269
SSO:000006147__Polyketide synthase	0.028378930716542284
SSO:000030895__iron-sulfur cluster assembly accessory protein	0.026704055137589545
SSO:000025239__Sugar isomerase	0.022384341933603103
SSO:000013044__Dehydrogenase	0.018194003052164554
SSO:000010176__Acetyltransferase	0.01722418530331119
SSO:000000401__510-methylenetetrahydrofolate reductase (EC 1.5.1.20)	0.016271194127700915
SSO:000001155__Bacteriocin production protein	0.016047340717436416
SSO:000000327__3-oxoacyl-ACP synthase (EC 2.3.1.41)	0.016041395594133014
SSO:000011068__Phenylacetate CoA-ligase (EC 6.2.1.30)	0.015518977775994305
SSO:000009703__Nitroreductase	0.015163557239486907
SSO:000010570__Amino acid carrier protein	0.014799643786823611
SSO:000020105__Multidrug transporter	0.014015315738587558
