feature	importance
SSO:000042813__amino-acid N-acetyltransferase (EC 2.3.1.1)	0.18349257099379873
SSO:000033044__pyrimidine 5'-nucleotidase	0.08349675565428188
SSO:000003240__Glycerate kinase (EC 2.7.1.31)	0.05746040122676675
SSO:000000380__4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	0.04066568623870409
SSO:000000115__2-C-methyl-D-erythritol 24-cyclodiphosphate synthase (EC 4.6.1.12)	0.03686907324756931
SSO:000012584__Cytochrome C biogenesis protein	0.02489853972834325
SSO:000002338__Dimethylsulfoniopropionate demethylase (EC 2.1.1.269)	0.023144527830320446
SSO:000006398__Propionate catabolism operon regulatory protein PrpR	0.02086930117139704
SSO:000021918__Porin	0.019102015584949533
SSO:000025628__Thioredoxin family protein	0.018617769974413396
SSO:000005791__Peptide chain release factor 3 (EC 4.1.1.68 )	0.01772551121595784
SSO:000005132__N-formylglutamate deformylase (EC 3.5.1.68)	0.016795433049455473
SSO:000024288__S1/P1 nuclease	0.015363346415685071
SSO:000030144__hsp20/alpha crystallin family protein	0.013730586107433445
SSO:000001940__Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	0.012285694411426327
SSO:000044308__adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	0.011977572912500989
SSO:000043998__3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	0.011955892355408906
SSO:000012216__Chromate transporter	0.011010857407847323
SSO:000001604__CoA-disulfide reductase (EC 1.8.1.14)	0.01081240945511834
SSO:000017006__GPW/gp25 family protein	0.010526236369975909
