feature	importance
SSO:000008385__Triphosphoribosyl-dephospho-CoA synthase (EC 2.4.2.52)	0.27589743580880793
SSO:000003114__Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.1778609194775826
SSO:000035123__Class A beta-lactamase (EC 3.5.2.6)	0.07558582972064169
SSO:000008954__Xaa-Pro aminopeptidase (EC 3.4.11.9)	0.06871042898486686
SSO:000007801__Sulfatase (EC 3.1.6.-)	0.04764595085733296
SSO:000018237__ISNCY family transposase	0.034965280834075164
SSO:000012267__Clostripain	0.03463514454893764
SSO:000042599__protocatechuate 34-dioxygenase (EC 1.13.11.3)	0.029382045031149107
SSO:000003447__Histidinol-phosphatase (EC 3.1.3.15)	0.027091079652055264
SSO:000031351__peptidase S24	0.019405015339974702
SSO:000008429__Twitching motility protein PilT	0.006893032190008511
SSO:000000686__Acetolactate synthase small subunit (EC 2.2.1.6)	0.0
SSO:000013192__DnaD domain protein	0.0
SSO:000029941__flagellin domain-containing protein	0.0
SSO:000031204__opacity associated protein A	0.0
SSO:000001489__Cell filamentation protein fic	0.0
SSO:000009606__3-carboxyethylcatechol 23-dioxygenase (EC 1.13.11.16)	0.0
SSO:000000376__4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.14.9)	0.0
SSO:000002791__Flagellar assembly protein FliH	0.0
SSO:000029327__alpha-L-rhamnosidase	0.0
