feature	importance
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.1217001061589302
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.08513282189146812
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.08500593569674453
SSO:000044113__UDP-N-acetylmuramoyl-L-alanyl-D-glutamate---L-lysine ligase (EC 6.3.2.7)	0.04262920929198359
SSO:000011964__Carboxypeptidase	0.03493812145818072
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.02670803062658617
SSO:000019052__Low molecular weight phosphotyrosine protein phosphatase	0.01895797321286642
SSO:000010324__Adhesin	0.018527060453225025
SSO:000007415__Septation ring formation regulator EzrA	0.016556567068372018
SSO:000029216__Zn-dependent hydrolase	0.0164336371150141
SSO:000018777__L-rhamnose isomerase	0.016327151200487826
SSO:000018206__IS3 family transposase	0.015864350311674727
SSO:000039882__Tyrosine recombinase XerS	0.015225891822876614
SSO:000017607__HTH-type transcriptional regulator malT	0.013394778978273134
SSO:000007082__Ribonuclease HIII (EC 3.1.26.4)	0.013312651132514172
SSO:000005972__Phosphoglycerate mutase (EC 5.4.2.1)	0.013132211378231338
SSO:000041594__Undecaprenyl-phosphate glucose phosphotransferase (EC 2.7.8.31)	0.01277104666126644
SSO:000003163__Glutamate-1-semialdehyde 21-aminomutase (EC 5.4.3.8)	0.011006141153180325
SSO:000001052__Argininosuccinate synthase (EC 6.3.4.5)	0.010654950799878332
SSO:000000864__Aldehyde dehydrogenase (EC 1.2.1.3)	0.010192780295516474
