feature	importance
SSO:000029792__cytochrome c-1	0.09832954953225805
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.07076165328322352
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.04552718021588602
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.04196489336904673
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.02970687995506402
SSO:000013181__Disulfide oxidoreductase	0.028450756391825795
SSO:000003439__Histidine ammonia-lyase (EC 4.3.1.3)	0.027021865495407527
SSO:000043066__hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	0.025626347323592997
SSO:000017356__Glycogen synthase (EC 2.4.1.11)	0.02170391815388504
SSO:000001044__Arginine decarboxylase (EC 4.1.1.19)	0.019262779106383573
SSO:000017833__Histone H1	0.019128342103022833
SSO:000025241__Sugar kinase	0.018437923849067853
SSO:000010798__Arginine repressor	0.01704297993097442
SSO:000020884__Outer membrane lipoprotein-sorting protein	0.01690373296088096
SSO:000003262__Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	0.01626833857657743
SSO:000024292__SAF domain-containing protein	0.014293397528051302
SSO:000020339__NADH/Ubiquinone/plastoquinone (complex I)	0.013130529661950755
SSO:000044149__5-guanidino-2-oxopentanoate decarboxylase (EC 4.1.1.75)	0.013125037727326016
SSO:000011951__Carboxylate-amine ligase	0.012152475962843945
SSO:000043015__UDP-N-acetylmuramate dehydrogenase (EC 1.1.1.158)	0.011486852552336916
