feature	importance
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.1735846780924813
SSO:000043061__asparagine---tRNA ligase (EC 6.1.1.22)	0.10396435177494344
SSO:000002402__Ectoine synthase (EC 4.2.1.108)	0.0635193518505394
SSO:000021899__Polysaccharide deacetylase family protein	0.049512269524275
SSO:000004605__Lysophospholipase (EC 3.1.1.5)	0.038636685344105685
SSO:000036082__Glucose-6-phosphate dehydrogenase (coenzyme F420) (EC 1.1.98.2)	0.03480599808762585
SSO:000020367__NERD domain-containing protein	0.027607899334712572
SSO:000031477__polyhydroxybutyrate depolymerase	0.02440521958864071
SSO:000006147__Polyketide synthase	0.022359601727109556
SSO:000029459__beta-phosphoglucomutase family hydrolase	0.01853314460273577
SSO:000012961__DUF1015 domain-containing protein	0.018434882507726402
SSO:000021770__Phytoene desaturase (EC 1.14.99.-)	0.018208550270806974
SSO:000010242__Acyl transferase	0.017924334491483555
SSO:000029948__flavohemoprotein	0.016240532063055344
SSO:000002607__Excinuclease ABC subunit A	0.014832137436532392
SSO:000031187__nucleic acid binding protein	0.01477759606861196
SSO:000025627__Thioredoxin domain-containing protein	0.014605680925019848
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.013844753297877668
SSO:000022788__Protein kinase	0.013306278905037699
SSO:000023742__Pyridoxal phosphate-dependent aminotransferase	0.012790353042873985
