feature	importance
SSO:000012972__DUF1801 domain-containing protein	0.111920031690834
SSO:000016921__Fumarylacetoacetate hydrolase family protein	0.08053260724673882
SSO:000012004__Cation:proton antiporter	0.0452494349163733
SSO:000002805__Flagellar biosynthesis protein FliQ	0.044983989906594045
SSO:000005809__Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	0.03522351251718968
SSO:000001558__Chorismate synthase (EC 4.2.3.5)	0.03008421987108974
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.030035209052953517
SSO:000004189__LOG family protein	0.023981514514273772
SSO:000001077__Arylsulfatase (EC 3.1.6.1)	0.021091145004791638
SSO:000017734__Hemolysin III	0.0196449327017513
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.018718334097456067
SSO:000012375__Competence protein ComGF	0.01696263535118191
SSO:000024332__SH3 domain-containing protein	0.015090849368822587
SSO:000025517__Tellurium resistance protein terC	0.013585192389051766
SSO:000002607__Excinuclease ABC subunit A	0.011826317514920942
SSO:000033847__zinc-binding dehydrogenase	0.011798399003530203
SSO:000000080__23-dihydro-23-dihydroxybenzoate dehydrogenase (EC 1.3.1.28)	0.01153411708593377
SSO:000001378__CTP synthase (EC 6.3.4.2)	0.011523884114928454
SSO:000023761__Pyrimidine-specific ribonucleoside hydrolase RihA	0.011254846348542886
SSO:000044330__glutamate formimidoyltransferase (EC 2.1.2.5)	0.0109468396444003
