feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.25234465168625403
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.06206604179030562
SSO:000020878__Outer membrane lipoprotein carrier protein LolA	0.05182863157415873
SSO:000035962__Formate-dependent phosphoribosylglycinamide formyltransferase	0.039800211476887
SSO:000019412__Membrane dipeptidase	0.03261781514313794
SSO:000000046__1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	0.02762279099428287
SSO:000002702__Ferredoxin (EC 1.18.1.3 )	0.026552368203881165
SSO:000004381__Lactate oxidase (EC 1.13.12.-)	0.024981494931420323
SSO:000012248__Citrate transporter	0.023550904640881748
SSO:000012742__DNA adenine methylase (EC 2.1.1.72)	0.019609387488753804
SSO:000000819__Adenylate cyclase (EC 4.6.1.1)	0.019505955157617848
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.019157791420758474
SSO:000006048__Phosphoribulokinase (EC 2.7.1.19)	0.01773147522826388
SSO:000020655__Nucleoside deoxyribosyltransferase (EC 2.4.2.6)	0.01610396655618724
SSO:000021274__Patatin-like phospholipase family protein	0.01264558181710175
SSO:000041594__Undecaprenyl-phosphate glucose phosphotransferase (EC 2.7.8.31)	0.012471083417525156
SSO:000000167__2-iminoacetate synthase (ThiH) (EC 4.1.99.19)	0.011699681033792084
SSO:000006808__Pyridoxal kinase (EC 2.7.1.35)	0.010786015947724917
SSO:000025520__TerC family protein	0.009881946031665086
SSO:000021669__Phospholipase	0.009434502910280628
