feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.16649002850379518
SSO:000010350__AhpC/TSA family protein	0.07318945032660552
SSO:000021899__Polysaccharide deacetylase family protein	0.050680349283558045
SSO:000024103__Rhamnogalacturonan acetylesterase	0.048444781722988196
SSO:000042733__carotenoid 12-hydratase (EC 4.2.1.131)	0.04667845849345685
SSO:000036187__Polysaccharide pyruvyl transferase CsaB	0.03377193001658273
SSO:000002619__Exodeoxyribonuclease III (EC 3.1.11.2)	0.027642143367228884
SSO:000003486__Homoserine kinase (EC 2.7.1.39)	0.02564581541559295
SSO:000023924__Redoxin domain-containing protein	0.023901445039840298
SSO:000007803__Sulfate adenylyltransferase (EC 2.7.7.4)	0.02304402118882727
SSO:000000273__3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	0.02072660211216448
SSO:000030951__lipopolysaccharide kinase	0.019669941755738708
SSO:000008105__TonB-dependent siderophore receptor	0.017035193474022763
SSO:000005809__Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	0.01690034168959268
SSO:000043940__dihydrolipoyllysine-residue acetyltransferase (EC 2.3.1.12)	0.016713933271551983
SSO:000034018__2-polyprenylphenol hydroxylase (EC 1.14.13.240)	0.014691265474290956
SSO:000019421__Membrane metalloprotease	0.013581082069426851
SSO:000020858__OstA family protein	0.013551540843236187
SSO:000001398__Carbamate kinase (EC 2.7.2.2)	0.013136265791568555
SSO:000021606__Phosphate permease	0.01121031815386743
