feature	importance
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.2981399655549341
SSO:000030039__glycoside hydrolase family protein	0.05226463900997849
SSO:000010153__Acetolactate synthase	0.025075865080874758
SSO:000002472__Endonuclease III (EC 4.2.99.18)	0.02462673170362834
SSO:000002765__Ferrous iron transport protein A	0.021702159776117946
SSO:000024258__Class II aldolase	0.016604160434806677
SSO:000021037__PAS domain-containing protein	0.015330097174670194
SSO:000011942__Carbon-nitrogen hydrolase family protein	0.014329868940958012
SSO:000005967__Phosphoglucomutase (EC 5.4.2.2)	0.014315225425827706
SSO:000018905__Leucine-rich repeat protein	0.01417576593426575
SSO:000031351__peptidase S24	0.0141186534518214
SSO:000030067__glycosyltransferase family 2 protein	0.013287248094429223
SSO:000003526__Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	0.013078229154920821
SSO:000012567__Cysteine ABC transporter substrate-binding protein	0.012311730972782785
SSO:000018191__IS110 family transposase	0.011886432016310865
SSO:000003169__Glutamine synthetase (EC 6.3.1.2)	0.008970688318257784
SSO:000000670__Acetate kinase (EC 2.7.2.1)	0.008755408995990534
SSO:000043564__precorrin-2 dehydrogenase (EC 1.3.1.76)	0.008100412379708384
SSO:000042350__L-lysine 6-transaminase (EC 2.6.1.36)	0.007650683711974419
SSO:000023757__Pyrimidine nucleoside transporter	0.007359445343744302
