feature	importance
SSO:000008066__Thymidine phosphorylase (EC 2.4.2.4)	0.11153599717104226
SSO:000005968__Phosphogluconate dehydratase (EC 4.2.1.12)	0.10890474620351892
SSO:000011942__Carbon-nitrogen hydrolase family protein	0.08378268943752355
SSO:000039072__S-(hydroxymethyl)mycothiol dehydrogenase (EC 1.1.1.306)	0.05753514841484173
SSO:000009287__putrescine-ornithine antiporter	0.04050840342219354
SSO:000042733__carotenoid 12-hydratase (EC 4.2.1.131)	0.02911964769450711
SSO:000009598__34-dihydroxyphenylacetate 23-dioxygenase (EC 1.13.11.15)	0.028546580428606687
SSO:000003483__Homoserine O-acetyltransferase (EC 2.3.1.31)	0.027058051235383674
SSO:000003857__Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	0.02130086753625824
SSO:000000457__6-phosphogluconolactonase (EC 3.1.1.31)	0.020490538633317058
SSO:000009606__3-carboxyethylcatechol 23-dioxygenase (EC 1.13.11.16)	0.019961910565764622
SSO:000011533__CDP-glycerol:glycerophosphate glycerophosphotransferase	0.018297929183887094
SSO:000021576__Phe operon leader peptide	0.017733154393466687
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.014402795521534674
SSO:000010419__Alkane-1 monooxygenase (EC 1.14.15.3)	0.01425384482169254
SSO:000020220__N-acylneuraminate cytidylyltransferase (EC 2.7.7.43)	0.013104205941651854
SSO:000024157__Ribose 5-phosphate isomerase (EC 5.3.1.6)	0.012782100830401428
SSO:000041789__ribosomal protein S18-alanine N-acetyltransferase (EC 2.3.1.266)	0.012306724330629085
SSO:000011951__Carboxylate-amine ligase	0.012113389389367941
SSO:000003125__Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	0.011796948575319927
