feature	importance
SSO:000023737__PyrBI operon leader peptide	0.17237823510720826
SSO:000005134__N-hydroxyarylamine O-acetyltransferase (EC 2.3.1.118)	0.15592544710191766
SSO:000005992__Phosphomannomutase (EC 5.4.2.8)	0.10892141794489578
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.05572523881347408
SSO:000002607__Excinuclease ABC subunit A	0.04603329092170681
SSO:000020876__Outer membrane lipoprotein Blc	0.03265998707175177
SSO:000043841__acyl-homoserine-lactone acylase (EC 3.5.1.97)	0.016719929274753836
SSO:000029941__flagellin domain-containing protein	0.0
SSO:000005945__Phosphatidylserine decarboxylase (EC 4.1.1.65)	0.0
SSO:000018213__IS630 family transposase	0.0
SSO:000023999__RepA protein	0.0
SSO:000012882__DNA topoisomerase IV subunit B	0.0
SSO:000009632__3-methyladenine DNA glycosylase	0.0
SSO:000001489__Cell filamentation protein fic	0.0
SSO:000031204__opacity associated protein A	0.0
SSO:000021269__Patatin family protein	0.0
SSO:000009606__3-carboxyethylcatechol 23-dioxygenase (EC 1.13.11.16)	0.0
SSO:000002791__Flagellar assembly protein FliH	0.0
SSO:000029327__alpha-L-rhamnosidase	0.0
SSO:000002915__Formylmethanofuran dehydrogenase subunit B (EC 1.2.99.5)	0.0
