feature	importance
SSO:000007776__Succinate dehydrogenase cytochrome b-556 subunit	0.22179186922790925
SSO:000006305__Prephenate dehydrogenase (EC 1.3.1.12)	0.10082688531549845
SSO:000031196__nucleotidyltransferase family protein	0.09507756147327165
SSO:000013044__Dehydrogenase	0.05045955389832164
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.04405837388374152
SSO:000031342__peptidase M42	0.04372677780454536
SSO:000012708__D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)	0.043123402756286205
SSO:000034061__3-hydroxybenzoate 6-monooxygenase (EC 1.14.13.24)	0.03245584557875516
SSO:000003497__Hydantoin racemase (EC 5.1.99.5)	0.026152762357317096
SSO:000008864__Urease accessory protein UreE	0.022511935685955296
SSO:000018641__Isochorismatase family protein	0.01607452097648176
SSO:000021342__Peptidase M48	0.014819339373811174
SSO:000043419__Cobalamin biosynthesis protein CbiG	0.013675213820689721
SSO:000025605__Thiol-disulfide isomerase	0.004304927099044746
SSO:000012882__DNA topoisomerase IV subunit B	0.0
SSO:000005945__Phosphatidylserine decarboxylase (EC 4.1.1.65)	0.0
SSO:000004933__Molybdenum ABC transporter ATP-binding protein ModC	0.0
SSO:000021269__Patatin family protein	0.0
SSO:000018213__IS630 family transposase	0.0
SSO:000021611__Phosphate starvation-inducible protein PsiF	0.0
