feature	importance
SSO:000018921__Pullulanase (EC 3.2.1.41)	0.23540563582097646
SSO:000012207__Choloylglycine hydrolase family protein	0.0888649725551544
SSO:000017411__Glycosyl transferase family 8	0.050993778302732724
SSO:000012951__DNA/RNA non-specific endonuclease	0.03144720728258883
SSO:000002311__Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2)	0.02276830376637796
SSO:000024584__Serine/threonine protein kinase	0.02211590039739052
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.021898118942623352
SSO:000036119__Glutamine synthetase type III (EC 6.3.1.2)	0.0213352685537988
SSO:000002129__DNA-3-methyladenine glycosylase (EC 3.2.2.20)	0.01678393945163278
SSO:000017037__Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)	0.016563474970395693
SSO:000018207__IS30 family transposase	0.012660973517494898
SSO:000033137__rubrerythrin family protein	0.011718639685259652
SSO:000011942__Carbon-nitrogen hydrolase family protein	0.00885373696194558
SSO:000039268__Succinate dehydrogenase (quinone) flavoprotein subunit (EC 1.3.5.1)	0.005660715847578992
SSO:000018727__L-2-amino-thiazoline-4-carboxylic acid hydrolase (EC 3.5.2.-)	0.00564614035890497
SSO:000026255__Two component system sensor histidine kinase CiaH (EC 2.7.3.-)	0.005609044838809118
SSO:000003470__Holo-acyl-carrier protein synthase (EC 2.7.8.7)	0.005558308609472535
SSO:000042727__UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)	0.002917281250580985
SSO:000026007__Transglutaminase-like protein	0.0018681281146344234
SSO:000001489__Cell filamentation protein fic	0.0
