feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.23192756389063623
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.08728228711266396
SSO:000000046__1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	0.05364121217942982
SSO:000000457__6-phosphogluconolactonase (EC 3.1.1.31)	0.04481701268865823
SSO:000020865__Outer membrane beta-barrel protein	0.042374181345145
SSO:000020331__NADH-dependent flavin oxidoreductase	0.024599103135447838
SSO:000021899__Polysaccharide deacetylase family protein	0.023610976508424246
SSO:000016824__Flavin reductase (EC 1.5.1.30)	0.023333185446932955
SSO:000011913__Capsule biosynthesis protein	0.01504326497890673
SSO:000039438__TetR family transcriptional regulator	0.014003318672627295
SSO:000001873__Cytidine deaminase (EC 3.5.4.5)	0.013869383911697026
SSO:000006532__Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)	0.013445226999222206
SSO:000012338__Cold shock protein CspA	0.012943915072613608
SSO:000004053__Isocitrate lyase (EC 4.1.3.1)	0.012599559140843389
SSO:000018641__Isochorismatase family protein	0.011481355982792563
SSO:000012915__Transcriptional regulator	0.010621550090748246
SSO:000007904__Tagatose-6-phosphate kinase (EC 2.7.1.144)	0.010580104413325735
SSO:000009323__tRNA (Adenine-N(1)-) -methyltransferase (EC 2.1.1.36)	0.009846420423327765
SSO:000035492__Dihydromonapterin reductase (EC 1.5.1.50)	0.009778692431629528
SSO:000005809__Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	0.009588276417140702
