feature	importance
SSO:000029792__cytochrome c-1	0.16839003571494696
SSO:000004053__Isocitrate lyase (EC 4.1.3.1)	0.0896683398312787
SSO:000017750__Heparinase II/III family protein	0.043261484639049504
SSO:000004712__Mannose-6-phosphate isomerase (EC 5.3.1.8)	0.043190615816183726
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.04182530774981894
SSO:000018403__Inner membrane protein YhjD	0.03582571430097295
SSO:000039286__Sugar O-acetyltransferase	0.03489366173256458
SSO:000019235__MOSC domain containing protein	0.03148792121482404
SSO:000024227__Rod shape-determining protein	0.027455701394140115
SSO:000021615__Phosphate uptake regulator PhoU	0.027342094264866904
SSO:000031016__membrane or secreted protein	0.023424156676164567
SSO:000003256__Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	0.020196795224005505
SSO:000000824__Adenylosuccinate synthetase (EC 6.3.4.4)	0.01981516282166471
SSO:000016682__Ferredoxin reductase	0.01809022748604939
SSO:000010856__Asparagine synthase	0.01730315606004825
SSO:000029508__carbohydrate-binding protein	0.016529505052169758
SSO:000029834__dihydrodipicolinate reductase	0.013872523493366906
SSO:000029417__aspartoacylase	0.011039125055568423
SSO:000010586__Amino acid transporter	0.010977414885460628
SSO:000025611__Thiol:disulfide interchange protein	0.010947659533105095
