feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.27748486005425815
SSO:000001419__Carbonic anhydrase (EC 4.2.1.1)	0.12339773241017465
SSO:000021634__Phosphodiesterase	0.04571951650032719
SSO:000022980__PspC domain-containing protein	0.037386075898318744
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.02570761479244152
SSO:000031325__penicillin-binding protein 2	0.02483982000778553
SSO:000000366__4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	0.018004984232712188
SSO:000005119__N-acetylornithine carbamoyltransferase (EC 2.1.3.9)	0.01710691190579233
SSO:000002978__GMP synthase (EC 6.3.5.2)	0.013822960400011608
SSO:000006808__Pyridoxal kinase (EC 2.7.1.35)	0.012610079978817348
SSO:000007517__Signal peptidase I (EC 3.4.21.89)	0.012245271746984141
SSO:000012973__DUF1850 domain-containing protein	0.011069544922902262
SSO:000020581__Nitrogenase( EC:1.18.6.1 )	0.010561538673217458
SSO:000007113__Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	0.010529518083664641
SSO:000010307__Adenine specific DNA methyltransferase	0.010024489760375045
SSO:000002448__Electron transport complex protein RnfA	0.009546354570129353
SSO:000033667__transposase family protein	0.009489404642426848
SSO:000021805__Plasmid recombination enzyme	0.009242726412592678
SSO:000020989__Dihydropteridine reductase (EC 1.5.1.34)	0.009024168777103284
SSO:000026732__UbiD family decarboxylase	0.009019891732477395
