feature	importance
SSO:000003257__Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	0.214391710746391
SSO:000025241__Sugar kinase	0.054403528139952924
SSO:000029128__YeeE/YedE family protein	0.04828022652723752
SSO:000023930__Regulator	0.048273320993063445
SSO:000009089__dTDP-4-dehydrorhamnose 35-epimerase (EC 5.1.3.13)	0.03513442298709002
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.031317063987608675
SSO:000001304__CDP-glucose 46-dehydratase (EC 4.2.1.45)	0.029207860265097554
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.02312166342981265
SSO:000000212__2-phosphosulfolactate phosphatase (EC 3.1.3.71 )	0.020927281665613282
SSO:000024103__Rhamnogalacturonan acetylesterase	0.020586515522688174
SSO:000002934__Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	0.019504323643360997
SSO:000011529__CDP-alcohol phosphatidyltransferase family protein	0.019236181261235642
SSO:000043641__N4-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26)	0.01766352932872041
SSO:000001017__Antitoxin HicB	0.016881759667834985
SSO:000022951__Protein-glutamate O-methyltransferase( EC:2.1.1.80 )	0.016383778099536464
SSO:000013192__DnaD domain protein	0.0146440685952991
SSO:000010301__Adenine permease AdeP	0.014287380823089077
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.011508258306205407
SSO:000021299__Penicillin-binding protein 1A	0.010626427869619667
SSO:000013560__Exported protein	0.0075307477967730225
