feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.19909585384568
SSO:000012290__CoA-binding protein	0.08338163322998596
SSO:000005916__Phosphate acetyltransferase (EC 2.3.1.8)	0.07325079172598596
SSO:000030895__iron-sulfur cluster assembly accessory protein	0.05021052503188143
SSO:000016806__Flagellar protein	0.04741383286250956
SSO:000012512__Cupin domain-containing protein	0.04098245255761611
SSO:000001067__Arsenate reductase (EC 1.20.4.1)	0.03179809156165196
SSO:000016902__Fructoselysine 3-epimerase	0.024686544675211263
SSO:000006915__RNA polymerase sigma-70 factor (EC 2.7.7.6 )	0.02371515100539208
SSO:000002086__DNA polymerase IV (EC 2.7.7.7)	0.015353039753254291
SSO:000000685__Acetolactate synthase large subunit (EC 2.2.1.6)	0.01258874080849142
SSO:000025785__Transcriptional antiterminator	0.012135476776464055
SSO:000013541__Exopolysaccharide biosynthesis protein	0.011917002259283167
SSO:000003297__Glycolate oxidase (EC 1.1.3.15)	0.011033666765493439
SSO:000041675__WD40 repeat domain-containing protein	0.009819173715726723
SSO:000019681__Phage minor capsid protein	0.009245409523590462
SSO:000025693__TolA family protein	0.00792548237072879
SSO:000009074__cytidine/deoxycytidylate deaminase family protein (EC 3.5.4.3 )	0.007750187970555313
SSO:000029929__fimbrial biogenesis outer membrane usher protein	0.007685916784101904
SSO:000036600__Lantibiotic ABC transporter permease	0.007327515959150352
