feature	importance
SSO:000001856__Cysteine desulfurase (EC 2.8.1.7)	0.11772845749800054
SSO:000000151__2-dehydropantoate 2-reductase (EC 1.1.1.169)	0.0963230951150239
SSO:000005240__NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	0.06248767582278011
SSO:000005955__Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	0.057678994971070624
SSO:000005475__O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	0.05760586574574225
SSO:000004108__L-2-hydroxyglutarate oxidase (EC 1.1.3.15)	0.04880372128657171
SSO:000002972__GDP-mannose 46-dehydratase (EC 4.2.1.47)	0.04130652614497994
SSO:000006156__Polynucleotide kinase (EC 2.7.1.78)	0.035567547194874864
SSO:000025307__Superoxide dismutase	0.033372997107426715
SSO:000043047__thiamine-phosphate kinase (EC 2.7.4.16)	0.030188753775267557
SSO:000004712__Mannose-6-phosphate isomerase (EC 5.3.1.8)	0.023370790425690537
SSO:000017291__Glutaminyl-peptide cyclotransferase (EC 2.3.2.5)	0.020692585580291
SSO:000008902__V-type ATP synthase subunit K (EC 3.6.3.14)	0.016150198926496682
SSO:000021284__Pectate lyase (EC 4.2.2.2)	0.016120785374191177
SSO:000008901__V-type ATP synthase subunit I (EC 3.6.3.14)	0.015602887453655519
SSO:000007424__Serine hydroxymethyltransferase (EC 2.1.2.1)	0.014966504463316222
SSO:000029454__beta-ketoacyl synthase	0.014632586727007983
SSO:000021037__PAS domain-containing protein	0.013717368671895373
SSO:000005994__Phosphomevalonate kinase (EC 2.7.4.2)	0.010036955452497135
SSO:000024552__Serine esterase	0.0018185345495454676
