feature	importance
SSO:000008877__Uridine kinase (EC 2.7.1.48)	0.1346413288411643
SSO:000017381__Glycosyl hydrolase	0.09142390141767553
SSO:000037230__Nitronate monooxygenase (EC 1.13.12.16)	0.04353204156311656
SSO:000018777__L-rhamnose isomerase	0.03648429688161093
SSO:000009334__tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	0.03017332541185831
SSO:000012992__DUF350 domain-containing protein	0.030154487535540262
SSO:000013427__Enterochelin esterase	0.027239897780429147
SSO:000005298__Nicotinamidase (EC 3.5.1.19)	0.025839350405778953
SSO:000000948__Amino acid permease	0.023316935988921095
SSO:000043066__hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	0.02075597374708793
SSO:000042727__UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)	0.020736882326542447
SSO:000021298__Penicillin-binding protein	0.019884899603386432
SSO:000025253__Sugar transferase	0.018622947852480864
SSO:000021696__Phosphonate ABC transporter ATP-binding protein	0.018467494469374648
SSO:000030003__glucose-6-phosphate dehydrogenase	0.016717687934047272
SSO:000005113__N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	0.016640941856357755
SSO:000025628__Thioredoxin family protein	0.015782671229413157
SSO:000043239__Cytochrome c oxidase subunit 2a (EC 1.9.3.1)	0.014405009080508123
SSO:000012473__Cytochrome c	0.013921479610587012
SSO:000007074__Ribonuclease E inhibitor RraB	0.013034213317004049
