feature	importance
SSO:000008399__Tryptophanase (EC 4.1.99.1)	0.2990835707104393
SSO:000013395__Endonuclease NucS	0.056360176446975094
SSO:000011926__Carbamoyltransferase	0.025595744945516495
SSO:000001074__Arsenite methyltransferase (EC 2.1.1.137)	0.01908756058498763
SSO:000012994__DUF433 domain-containing protein	0.0162807711118864
SSO:000020300__NAD(P)H-quinone oxidoreductase subunit 3 (EC 1.6.5.2)	0.010213925991910391
SSO:000001185__Beta-glucuronidase (EC 3.2.1.31)	0.009739010046149233
SSO:000009370__tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223)	0.008843433397802105
SSO:000009662__Amylo-alpha-16-glucosidase (EC 3.2.1.33)	0.008353867997918957
SSO:000010638__Amylosucrase (EC 2.4.1.4)	0.008007581129529524
SSO:000043878__quinoprotein glucose dehydrogenase (EC 1.1.5.2)	0.00749528598708756
SSO:000021510__Phage holin	0.006622292555987123
SSO:000017237__Glucosylglycerol-phosphate synthase (EC 2.4.1.213)	0.006621344403344119
SSO:000043166__tryptophan 2-C-methyltransferase (EC 2.1.1.106)	0.006227493465386026
SSO:000037083__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit B	0.006130774767588078
SSO:000005779__Pentalenene synthase (EC 4.2.3.7)	0.005924203783984938
SSO:000007084__Ribonuclease III (EC 3.1.26.3)	0.005799194289563735
SSO:000030905__isomerase	0.005446208450479932
SSO:000010214__AcrB/AcrD/AcrF family protein	0.005389323150720609
SSO:000021027__PAP2 family protein	0.004868730207281985
