feature	importance
SSO:000008866__Urease accessory protein UreG	0.20839660917164476
SSO:000035277__Cytochrome c oxidase subunit 4 (EC 1.9.3.1)	0.05844197054183102
SSO:000003687__Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	0.04642682396848987
SSO:000001851__Cystathionine beta-lyase (EC 4.4.1.8)	0.028541667750801268
SSO:000024558__Serine protease	0.026859639267374162
SSO:000000065__16S rRNA processing protein RimM	0.02478365445959815
SSO:000008864__Urease accessory protein UreE	0.019487756498141523
SSO:000002974__GDP-mannose mannosyl hydrolase (EC 3.6.1.-)	0.018568520216986278
SSO:000043675__4-phosphoerythronate dehydrogenase (EC 1.1.1.290)	0.015392183233684548
SSO:000042813__amino-acid N-acetyltransferase (EC 2.3.1.1)	0.01514278490400324
SSO:000005313__Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	0.014923631596448234
SSO:000002338__Dimethylsulfoniopropionate demethylase (EC 2.1.1.269)	0.011552302018028279
SSO:000002128__DNA translocase FtsK	0.010260688806878809
SSO:000002815__Flagellar hook-length control protein FliK	0.009999480924843696
SSO:000002475__Endonuclease V (EC 3.1.21.7)	0.00972745774119766
SSO:000039887__UDP-23-diacylglucosamine diphosphatase LpxI (EC 3.6.1.54)	0.008275751013342856
SSO:000002249__Deoxynucleoside kinase (EC 2.7.1.113 )	0.00795823189246551
SSO:000025241__Sugar kinase	0.007923571256345394
SSO:000002702__Ferredoxin (EC 1.18.1.3 )	0.007819781510121478
SSO:000030940__lipid A biosynthesis acyltransferase	0.006927840466094779
