feature	importance
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.00528010682091244
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.005278177331976824
SSO:000017037__Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)	0.005177337381026972
SSO:000043973__adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26)	0.004852866204588223
SSO:000001968__Cytosine permease	0.004659753302303336
SSO:000006208__Precorrin-3B C(17)-methyltransferase (EC 2.1.1.131)	0.004507214010286379
SSO:000033834__xylulokinase	0.004448684210042324
SSO:000000864__Aldehyde dehydrogenase (EC 1.2.1.3)	0.00429739307369378
SSO:000042364__uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	0.003622415674340904
SSO:000002255__Deoxyribose-phosphate aldolase (EC 4.1.2.4)	0.003552661687168771
SSO:000006176__Porphobilinogen synthase (EC 4.2.1.24)	0.003473660941266649
SSO:000000584__ATP-dependent DNA helicase recQ (EC 3.6.1.- )	0.003448077887716808
SSO:000011135__Bile acid:sodium symporter	0.003375185386680237
SSO:000042404__cobyrinate ac-diamide synthase (EC 6.3.5.11)	0.0032563657658554995
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.0032186914139429117
SSO:000018792__L-threonine 3-dehydrogenase	0.0031385676147711664
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.0030236542660207377
SSO:000000896__Allantoate amidohydrolase (EC 3.5.3.9)	0.0028271022253641377
SSO:000018454__Inositol monophosphatase	0.002815493624935897
SSO:000008887__Uroporphyrinogen-III synthase (EC 4.2.1.75)	0.002792839082808153
