feature	importance
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.008461878131408971
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.007157958568300432
SSO:000004706__Mandelate racemase (EC 5.1.2.2)	0.005129198202670674
SSO:000033834__xylulokinase	0.00461437230138257
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.0041383176263958665
SSO:000029073__Xylose isomerase	0.004108094115436707
SSO:000025241__Sugar kinase	0.0035256781734778935
SSO:000003124__Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	0.0033737912829999352
SSO:000001873__Cytidine deaminase (EC 3.5.4.5)	0.003121657632149694
SSO:000009126__glutamine amidotransferase (EC 4.1.3.27 )	0.002984266266337561
SSO:000029506__carbohydrate kinase	0.0028475611466105507
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.0027901359517089374
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.0026113135468018964
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.0023459130812460744
SSO:000021298__Penicillin-binding protein	0.0022428145030251507
SSO:000034571__Aldose 1-epimerase family protein	0.0021494542500556193
SSO:000000811__Adenosine deaminase (EC 3.5.4.4)	0.002142798712786275
SSO:000005945__Phosphatidylserine decarboxylase (EC 4.1.1.65)	0.0021402964101388516
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.0020563299387872914
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.002054106035633243
