feature	importance
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.007771158378886526
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.006122588778518275
SSO:000033834__xylulokinase	0.006105368497227744
SSO:000000457__6-phosphogluconolactonase (EC 3.1.1.31)	0.005151694420424943
SSO:000005968__Phosphogluconate dehydratase (EC 4.2.1.12)	0.0041484220889604784
SSO:000004698__Malto-oligosyltrehalose synthase (EC 5.4.99.15)	0.004145694170249076
SSO:000034571__Aldose 1-epimerase family protein	0.004120747886650702
SSO:000005278__Na+/H+ antiporter	0.004079801310619625
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.003921119860364657
SSO:000033819__virulence factor family protein	0.003893716965044113
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.0037549400166860102
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.0037278519432961863
SSO:000000142__2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	0.003715455989062171
SSO:000035257__Cystine ABC transporter substrate-binding protein	0.0036997340972485743
SSO:000042548__succinylglutamate-semialdehyde dehydrogenase (EC 1.2.1.71)	0.00365415624604936
SSO:000003445__Histidine utilization repressor	0.003603676619756602
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.003184525628651252
SSO:000004699__Malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141)	0.0031176574512387853
SSO:000030003__glucose-6-phosphate dehydrogenase	0.0031116873309861106
SSO:000029073__Xylose isomerase	0.002959662534356123
