feature	importance
SSO:000007208__S-ribosylhomocysteine lyase (EC 4.4.1.21)	0.008079312709233594
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.007088547928470767
SSO:000003114__Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.005948025094051275
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.005646037708036029
SSO:000034727__Autonomous glycyl radical cofactor GrcA	0.00559813232736366
SSO:000009028__Protein-PII uridylyltransferase (EC 2.7.7.59)	0.005102620699180009
SSO:000000219__2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	0.004902816152574533
SSO:000000817__Adenosylhomocysteinase (EC 3.3.1.1)	0.004770317862317421
SSO:000002977__GMP reductase (EC 1.7.1.7)	0.004464088389555269
SSO:000005170__NAD(P)H-flavin reductase (EC 1.16.1.3) (EC 1.5.1.29)	0.004339189219519059
SSO:000036310__Methylenetetrahydrofolate reductase (NAD(P)H) (EC 1.5.1.20)	0.003989150562341483
SSO:000019001__Lipoprotein NlpI	0.003968311881786731
SSO:000043905__4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)	0.00392699948911812
SSO:000002246__Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	0.0038372355284351494
SSO:000000218__2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	0.0037353948445467294
SSO:000021631__Phosphocarrier protein HPr	0.0037154830948837037
SSO:000037085__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit D	0.0035746747611638562
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.0034418642127614476
SSO:000001476__Cell division protein ZapC	0.003414788894745668
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.0034127704504170807
