feature	importance
SSO:000033834__xylulokinase	0.01535954153449005
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.012028445584479125
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.009555025216606134
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.006657354161193396
SSO:000043098__myo-inosose-2 dehydratase (EC 4.2.1.44)	0.006611048319209781
SSO:000029506__carbohydrate kinase	0.005895079674964484
SSO:000001540__Choline ABC transporter substrate-binding protein	0.005733731975327383
SSO:000018763__L-iditol 2-dehydrogenase	0.005667629100214004
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.0046180059416261006
SSO:000002078__DNA polymerase II (EC 2.7.7.7)	0.004449651326663243
SSO:000008865__Urease accessory protein UreF	0.004023077090005971
SSO:000000897__Allantoicase (EC 3.5.3.4)	0.0039879372487069175
SSO:000036484__L-arabinose ABC transporter ATP-binding protein AraG	0.003986958535912809
SSO:000002255__Deoxyribose-phosphate aldolase (EC 4.1.2.4)	0.003757798231275476
SSO:000001198__Betaine aldehyde dehydrogenase (EC 1.2.1.8)	0.0035628363419968096
SSO:000000159__2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	0.0035021080877704097
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.00342038107031345
SSO:000043034__inositol 2-dehydrogenase (EC 1.1.1.18)	0.0031547846386178074
SSO:000001549__Choline-sulfatase (EC 3.1.6.6)	0.003121613946949809
SSO:000010586__Amino acid transporter	0.003111221995070243
